기준연월,고객광역시군구명,전체이용건수,전체이용금액
202201,강원도,23244,727857931
202201,경기도,876691,29771254067
202201,경상북도,57331,1985283262
202202,부산광역시,61480,1881828282
202202,서울특별시,426723,14783389614
202203,대구광역시,61613,1877835929
202203,전라남도,44530,1527374652
202203,제주특별자치도,8692,239876577
202204,경상남도,85541,2606893241
202204,광주광역시,42491,1416329619
202204,대전광역시,240025,9575630579
202205,세종특별자치시,88762,3612216579
202205,울산광역시,31009,987425711
202205,인천광역시,230215,7284279551
202205,전라북도,122396,4362184175
202205,충청북도,120920,4447215711
202206,강원도,32308,929098206
202206,경기도,1237945,41069770859
202206,경상북도,74409,2419063937
202207,부산광역시,89976,2970114534
202207,서울특별시,653636,24414449066
202208,대구광역시,70243,2208820468
202208,전라남도,52151,1884297835
202208,제주특별자치도,9132,289162283
202209,경상남도,91362,2651224517
202209,광주광역시,47798,1619517690
202209,대전광역시,253286,9329726440
202210,강원도,33218,940436407
202210,경기도,1362841,43685744968
202210,경상북도,77894,2492151667
202211,부산광역시,87981,2645275999
202211,서울특별시,640045,21834178406
202212,대구광역시,62624,1892414975
202212,전라남도,47825,1834921022
202212,제주특별자치도,8348,250134160
202301,부산광역시,76903,2553532861
202301,서울특별시,525793,18693656166
202302,대구광역시,58005,1770025669
202302,전라남도,44689,1474462962
202302,제주특별자치도,8090,236734505
202303,경상남도,88319,2542024828
202303,광주광역시,45416,1408355545
202303,대전광역시,240021,8772649344
202304,세종특별자치시,77435,2932395938
202304,울산광역시,36190,1028540380
202304,인천광역시,239647,7280582129
202304,전라북도,127557,4060024956
202304,충청북도,119889,4047072029
202305,강원도,37019,964235762
202305,경기도,1366312,41648626024
202305,경상북도,85417,2461016114
202306,부산광역시,98023,2930500236
202306,서울특별시,692532,22720727999
202307,대구광역시,66089,1876790477
202307,전라남도,48543,1617780705
202307,제주특별자치도,8940,270353214
202308,경상남도,94067,2662070980
202308,광주광역시,50756,1449831486
202308,대전광역시,252394,8676923518
202309,강원특별자치도,33962,915293630
202309,세종특별자치시,83912,3180455340
202309,울산광역시,29088,899036700
202309,인천광역시,234195,7241972848
202309,전라북도,117393,3853855084
202309,충청북도,120401,4179799191
202310,부산광역시,88833,2813410652
202310,서울특별시,671278,22257283033
201901,강원도,31686,929937702
201901,경기도,991616,31636085081
201901,경상북도,66683,2174196397
201902,부산광역시,65015,2238317815
201902,서울특별시,553515,16952057101
201903,대구광역시,61747,1939016764
201903,전라남도,64901,1988708376
201903,제주특별자치도,13303,335000331
201904,경상남도,96655,2893444852
201904,광주광역시,49785,1368930210
201904,대전광역시,282209,9590319744
201905,세종특별자치시,100425,3469750886
201905,울산광역시,35786,1182813497
201905,인천광역시,263712,6921264271
201905,전라북도,139211,4196855796
201905,충청북도,141218,4275149641
201906,강원도,36522,941025370
201906,경기도,1332676,37088234791
201906,경상북도,75352,2197814447
201907,부산광역시,83256,2665501717
201907,서울특별시,654588,20970535826
201908,대구광역시,73358,2481401124
201908,전라남도,63569,1853390722
201908,제주특별자치도,12443,330643337
201909,경상남도,92965,2698435677
201909,광주광역시,48767,1242454897
201909,대전광역시,274189,8684122517
201910,강원도,39000,1052332655
201910,경기도,1423825,39299662374
201910,경상북도,82190,2581158671
201911,부산광역시,85741,2862278426
201911,서울특별시,694517,21840578985
201912,대구광역시,60763,1958236814
201912,전라남도,56049,1749804029
201912,제주특별자치도,11961,304273855
202001,대구광역시,55652,1793212070
202001,전라남도,50579,1485332462
202001,제주특별자치도,10510,325316044
